SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,NEAREST_STN,NEAREST_SCH,NEAREST_SCH_DIST,MONTH_SOLD,YEAR_SOLD
Casuarina,415000,3,1,3,20266,233,1982,Kwinana Station,THE KING'S COLLEGE,3.766458535179869,4,2005
Duncraig,595000,3,1,4,680,140,1984,Greenwood Station,DUNCRAIG SENIOR HIGH SCHOOL,0.5679346234349553,10,2018
Warnbro,260000,3,2,2,500,114,2000,Warnbro Station,WARNBRO COMMUNITY HIGH SCHOOL,0.8718590931400235,6,2019
Seville Grove,360000,4,2,2,602,171,2006,Sherwood Station,CECIL ANDREWS COLLEGE,0.7138341034336737,11,2018
Mullaloo,490000,3,1,1,762,110,1986,Edgewater Station,BELRIDGE SECONDARY COLLEGE,1.4557257590818322,10,2017
Baldivis,559000,4,2,2,715,259,2010,Warnbro Station,TRANBY COLLEGE,1.596969623224335,12,2020
Boya,385000,4,2,0,1983,187,1989,Midland Station,TREETOPS MONTESSORI SCHOOL,1.867144510444736,4,2009
Beaconsfield,720000,3,1,2,766,120,1965,Fremantle Station,FREMANTLE COLLEGE,0.4466585669603266,10,2017
West Swan,740000,4,2,2,3509,238,1985,Woodbridge Station,SWAN CHRISTIAN COLLEGE,2.2415426539244487,4,2008
North Beach,765000,4,1,1,103,90,1960,Warwick Station,CARINE SENIOR HIGH SCHOOL,1.7986809723996329,10,2019
Jarrahdale,730000,4,2,3,20793,186,1985,Armadale Station,COURT GRAMMAR SCHOOL,6.624479350660728,5,2014
Hillman,345000,3,1,2,526,144,1974,Rockingham Station,KOLBE CATHOLIC COLLEGE,0.8050339925478798,9,2013
Dayton,345000,3,2,2,213,109,2014,Guildford Station,KIARA COLLEGE,3.80779755371864,12,2016
Mount Nasura,410000,3,2,4,694,172,1981,Sherwood Station,JOHN CALVIN CHRISTIAN COLLEGE,1.6379495836445774,9,2019
Wooroloo,448000,4,2,2,2100,206,2001,Midland Station,EASTERN HILLS SENIOR HIGH SCHOOL,11.341667316335686,9,2015
Gnangara,1086000,4,2,8,10009,176,2003,Edgewater Station,ALTA-1,3.3789295544181286,4,2015
North Lake,700000,5,2,2,732,222,1995,Murdoch Station,NORTH LAKE SENIOR CAMPUS,0.7088381219006509,6,2013
Ashby,500000,4,2,2,558,201,2003,Joondalup Station,LAKE JOONDALUP BAPTIST COLLEGE,3.1042025033856024,6,2017
Ashfield,430000,3,2,0,533,158,1999,Ashfield Station,CYRIL JACKSON SENIOR CAMPUS,0.4420742055378894,5,2009
Success,625000,4,2,2,662,292,1995,Cockburn Central Station,ATWELL COLLEGE,1.0040525791518344,6,2019
Brentwood,860000,4,3,2,512,175,2006,Bull Creek Station,ALL SAINTS' COLLEGE,0.8867895619673506,1,2017
Wungong,720000,3,1,2,20223,110,1920,Armadale Station,ARMADALE SENIOR HIGH SCHOOL,2.1443213702438224,12,2012
Bull Creek,970000,4,2,2,880,275,1994,Bull Creek Station,ALL SAINTS' COLLEGE,0.21112658078844546,7,2017
Redcliffe,440000,3,2,2,465,145,1998,Ashfield Station,BELMONT CITY COLLEGE,1.7988126389741053,11,2020
Claremont,835000,3,1,2,3068,84,1979,Swanbourne Station,CHRIST CHURCH GRAMMAR SCHOOL,0.30504572824093124,6,2018
Koongamia,310000,3,1,1,711,94,1965,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.1623727884383293,12,2012
Orelia,315000,3,1,6,726,108,1970,Kwinana Station,GILMORE COLLEGE,0.7287037651225938,7,2017
Myaree,870000,4,1,2,838,149,1995,Bull Creek Station,MELVILLE SENIOR HIGH SCHOOL,1.232291831247517,3,2014
Daglish,1300000,3,3,2,629,320,1935,Daglish Station,SHENTON COLLEGE,1.148180755974821,4,2014
Jane Brook,575000,4,2,3,735,241,2002,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,1.8258165375433304,8,2015
Coolbinia,1195000,3,2,1,840,200,1957,Glendalough Station,CARMEL SCHOOL,1.7702588889202513,6,2011
Henley Brook,493000,4,2,2,629,247,2002,East Guildford Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,1.1407575679231121,6,2014
Bickley,110000,3,2,2,2026,228,1955,Madding,CARMEL ADVENTIST COLLEGE,0.9710669361674928,11,1999
Secret Harbour,370000,3,2,2,360,190,2011,Warnbro Station,COMET BAY COLLEGE,0.9591450792765964,5,2019
Kewdale,391000,3,1,1,697,122,1972,Queens Park Station,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,0.5565350917240179,12,2018
Joondalup,504210,5,2,2,789,186,1990,Currambine Station,LAKE JOONDALUP BAPTIST COLLEGE,1.2013280419470398,9,2019
Quinns Rocks,295000,4,2,2,475,157,2001,Butler Station,ALKIMOS BAPTIST COLLEGE,0.8174192741710595,2,2018
Currambine,445000,4,2,2,432,147,1995,Currambine Station,LAKE JOONDALUP BAPTIST COLLEGE,1.3561553438123422,3,2019
Hillarys,1000000,4,3,2,786,287,2004,Whitfords Station,ST MARK'S ANGLICAN COMMUNITY SCHOOL,0.834847390422268,10,2019
Darch,523000,4,2,2,684,226,2004,Whitfords Station,ASHDALE SECONDARY COLLEGE,0.6396006214371315,4,2020
Bateman,670000,4,1,3,700,146,1985,Bull Creek Station,CORPUS CHRISTI COLLEGE,0.5047562397839016,4,2017
Shoalwater,520000,5,3,3,840,253,1995,Rockingham Station,ROCKINGHAM SENIOR HIGH SCHOOL,2.188961506509712,1,2016
Upper Swan,330000,4,1,0,29897,251,1995,Midland Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,4.107036960126616,11,2001
Bateman,886000,3,1,0,850,228,1970,Murdoch Station,CORPUS CHRISTI COLLEGE,0.26151531794709704,9,2020
Alfred Cove,600000,3,1,3,505,127,1950,Bull Creek Station,MELVILLE SENIOR HIGH SCHOOL,1.6932131938494583,9,2017
Alexander Heights,410000,4,2,2,689,139,1987,Warwick Station,MERCY COLLEGE,2.095167877976858,5,2017
Thornlie,480000,4,2,2,420,206,2011,Thornlie Station,THORNLIE SENIOR HIGH SCHOOL,1.2144007994512194,5,2018
Hillman,347500,4,1,1,1000,178,1975,Rockingham Station,KOLBE CATHOLIC COLLEGE,1.2081644325286751,12,2011
Orelia,381000,4,2,2,651,148,1995,Kwinana Station,GILMORE COLLEGE,1.2737599116307268,12,2017
Connolly,600000,4,2,2,719,161,1988,Joondalup Station,BELRIDGE SECONDARY COLLEGE,1.8172380338574132,8,2019
Waikiki,275000,3,1,2,620,122,1993,Warnbro Station,SOUTH COAST BAPTIST COLLEGE,0.4611030268619824,6,2018
Aveley,445000,4,2,2,582,205,1995,Woodbridge Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.5751823602808042,4,2018
Joondalup,580000,4,2,2,711,259,2000,Currambine Station,LAKE JOONDALUP BAPTIST COLLEGE,2.1333921180037474,1,2018
Kallaroo,650000,3,1,2,685,180,1973,Whitfords Station,ST MARK'S ANGLICAN COMMUNITY SCHOOL,0.913593995173136,6,2019
Middle Swan,310000,3,1,1,576,92,1990,Midland Station,SWAN CHRISTIAN COLLEGE,1.9026754951379143,8,2017
Merriwa,305000,3,2,2,463,126,2005,Butler Station,ALKIMOS BAPTIST COLLEGE,0.3054483595173786,8,2018
Banksia Grove,370000,4,2,2,623,121,2006,Clarkson Station,JOSEPH BANKS SECONDARY COLLEGE,1.2434648317116936,7,2017
Gosnells,280000,3,1,2,819,90,1970,Gosnells Station,SOUTHERN RIVER COLLEGE,1.6737987765163842,10,2019
Madeley,635000,4,2,4,504,213,2007,Whitfords Station,KINGSWAY CHRISTIAN COLLEGE,1.05012045154378,11,2017
Marmion,800000,5,1,2,589,316,2016,Warwick Station,SACRED HEART COLLEGE,1.6115898515138916,12,2013
Darlington,765000,4,2,8,3589,185,1984,Midland Station,TREETOPS MONTESSORI SCHOOL,1.4716469963089902,11,2020
Carmel,360000,3,1,2,4922,176,1971,Madding,CARMEL ADVENTIST COLLEGE,0.4710377733929026,7,2004
Yangebup,650000,4,2,2,600,223,1995,Cockburn Central Station,DIVINE MERCY COLLEGE,1.8851056982378536,11,2020
Gooseberry Hill,1350000,4,2,3,4054,249,1948,Midland Station,KALAMUNDA SENIOR HIGH SCHOOL,1.5736381082308135,4,2016
Mount Nasura,462000,5,2,3,810,151,1970,Challis Station,SOWILO COMMUNITY HIGH SCHOOL,0.9194106718987156,4,2016
South Guildford,721000,3,2,2,536,213,2010,East Guildford Station,GUILDFORD GRAMMAR SCHOOL,1.2460475988741773,11,2020
Aveley,525000,4,2,2,709,297,2007,East Guildford Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.35489245190363833,8,2018
Orelia,365000,3,1,3,965,164,1995,Kwinana Station,GILMORE COLLEGE,1.0819430430665056,5,2016
Karrinyup,948000,4,2,3,810,159,1975,Warwick Station,CARINE SENIOR HIGH SCHOOL,1.389532073812372,1,2020
Kiara,476000,4,2,2,536,187,1995,Bassendean Station,KIARA COLLEGE,0.7286526241131003,8,2018
Merriwa,312500,3,2,2,522,121,2002,Butler Station,IRENE MCCORMACK CATHOLIC COLLEGE,0.4409270594357316,11,2017
Eglinton,340000,3,2,2,255,124,2015,Butler Station,YANCHEP SECONDARY COLLEGE,5.51188037697198,8,2017
Wattle Grove,445000,4,2,2,525,171,2004,Madding,REHOBOTH CHRISTIAN COLLEGE,3.1159906099520174,1,2019
Caversham,340000,4,2,1,488,123,1995,Success Hill Station,KIARA COLLEGE,2.3052444469745965,10,2016
Kardinya,570000,3,2,2,729,155,1974,Murdoch Station,KENNEDY BAPTIST COLLEGE,0.7874010945129497,8,2019
Beechboro,420000,5,2,2,582,123,1995,Ashfield Station,KIARA COLLEGE,1.618977746136803,1,2019
Sinagra,480000,4,2,2,549,187,2009,Joondalup Station,WANNEROO SECONDARY COLLEGE,2.3533426758828413,9,2014
Heathridge,410000,2,1,1,683,86,1977,Joondalup Station,BELRIDGE SECONDARY COLLEGE,0.9727974719339516,11,2017
Jandakot,587000,4,2,2,510,185,2000,Cockburn Central Station,LAKELAND SENIOR HIGH SCHOOL,1.102294560620683,10,2015
Jindalee,605000,4,2,2,540,216,2010,Butler Station,BUTLER COLLEGE,1.328206254917781,12,2019
Huntingdale,450000,4,2,2,616,220,2001,Thornlie Station,SOUTHERN RIVER COLLEGE,2.2030952331356897,10,2016
Churchlands,1638000,5,2,2,640,431,1995,Glendalough Station,CHURCHLANDS SENIOR HIGH SCHOOL,0.6233584685377378,10,2015
Bertram,360000,4,2,2,400,165,2005,Kwinana Station,THE KING'S COLLEGE,1.1087496635486722,8,2016
Doubleview,1025000,4,2,2,645,165,1954,Stirling Station,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,0.6368607148215313,11,2018
Bennett Springs,287000,4,2,0,400,169,2016,Ashfield Station,KIARA COLLEGE,2.101400405869895,3,2015
Rockingham,590000,5,2,3,871,305,2005,Rockingham Station,ROCKINGHAM SENIOR HIGH SCHOOL,1.2236073678637502,12,2018
Brentwood,1430000,3,2,1,810,301,1962,Bull Creek Station,ALL SAINTS' COLLEGE,1.071215830365881,7,2018
Ardross,1430000,4,2,3,728,276,1964,Canning Bridge Station,APPLECROSS SENIOR HIGH SCHOOL,0.9974312274590712,6,2018
Murdoch,550000,4,2,2,916,162,1989,Murdoch Station,CORPUS CHRISTI COLLEGE,1.0189870134559715,2,2012
Alkimos,368000,3,2,2,300,150,2014,Butler Station,BUTLER COLLEGE,4.2069522834873085,11,2019
Kenwick,315000,4,2,2,568,132,1999,Madding,REHOBOTH CHRISTIAN COLLEGE,0.8412290180411638,4,2018
Eglinton,389000,4,2,2,375,172,1995,Butler Station,YANCHEP SECONDARY COLLEGE,3.4150324728848958,10,2018
The Vines,500000,4,2,2,730,233,2015,Woodbridge Station,HOLY CROSS COLLEGE,2.5213631791665883,6,2019
Wungong,680000,5,2,4,10577,220,1984,Armadale Station,ARMADALE SENIOR HIGH SCHOOL,2.3190112066369544,4,2014
Winthrop,845000,4,2,2,712,230,1986,Bull Creek Station,CORPUS CHRISTI COLLEGE,1.7272992538441645,8,2015
Parkerville,627500,4,2,5,2275,154,1996,Midland Station,MUNDARING CHRISTIAN COLLEGE,4.614788195025388,2,2015
Landsdale,575000,4,2,2,480,199,2013,Greenwood Station,LANDSDALE CHRISTIAN SCHOOL,0.915194659054404,9,2020
Kalamunda,612000,3,2,4,1007,126,1968,Midland Station,KALAMUNDA SENIOR HIGH SCHOOL,0.3438497026336315,5,2020
Ellenbrook,405000,4,2,2,510,230,2007,East Guildford Station,HOLY CROSS COLLEGE,0.5592309934456434,9,2020
Kiara,370000,3,1,4,576,112,1994,Bassendean Station,KIARA COLLEGE,0.7812823347924414,6,2012
Carramar,865000,5,3,2,1000,347,2013,Clarkson Station,JOSEPH BANKS SECONDARY COLLEGE,0.8889626387851918,12,2018
Beeliar,610000,4,2,2,510,215,2011,Cockburn Central Station,DIVINE MERCY COLLEGE,1.996981923069636,4,2019
Orelia,300000,3,1,2,640,94,1971,Kwinana Station,GILMORE COLLEGE,1.506344712499819,9,2015
Cockburn Central,512000,4,2,2,666,120,1999,Cockburn Central Station,EMMANUEL CATHOLIC COLLEGE,0.6284826711798597,8,2014
Kardinya,1070000,5,3,7,939,359,1988,Murdoch Station,NORTH LAKE SENIOR CAMPUS,1.062435352337222,10,2019
Jandakot,525000,4,2,1,452,188,1998,Cockburn Central Station,LAKELAND SENIOR HIGH SCHOOL,1.059928508675113,6,2015
Gooseberry Hill,765000,3,2,2,2058,193,1973,Midland Station,KALAMUNDA SENIOR HIGH SCHOOL,3.0483985341770343,9,2014
Menora,1200000,3,1,1,956,163,1950,Mount Lawley Station,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.5232010894762317,3,2014
Brigadoon,400000,2,2,0,18125,148,2014,Midland Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,9.283329782990238,2,2013
Merriwa,355000,4,2,2,732,165,1990,Butler Station,ALKIMOS BAPTIST COLLEGE,0.518100977440071,7,2016
Hocking,530000,4,2,2,580,210,2002,Edgewater Station,ALTA-1,1.3355514747654165,6,2017
Dayton,515000,4,2,2,574,200,2012,Guildford Station,GOVERNOR STIRLING SENIOR HIGH SCHOOL,3.670719508957288,2,2017
Gnangara,750000,4,2,2,12181,250,1993,Whitfords Station,LANDSDALE CHRISTIAN SCHOOL,2.629764772527221,4,2006
Bassendean,512000,3,1,1,393,114,1995,Success Hill Station,CYRIL JACKSON SENIOR CAMPUS,1.4460911408436063,7,2019
Mindarie,705000,3,2,0,367,182,1997,Clarkson Station,MINDARIE SENIOR COLLEGE,1.1124587072872971,8,2020
Joondalup,489000,3,1,2,800,130,1989,Joondalup Station,LAKE JOONDALUP BAPTIST COLLEGE,0.9808897745002448,11,2020
Mount Helena,650000,4,2,2,2003,251,2011,Midland Station,EASTERN HILLS SENIOR HIGH SCHOOL,1.3077531647340492,12,2015
Madeley,427000,3,2,2,618,136,2005,Greenwood Station,KINGSWAY CHRISTIAN COLLEGE,1.0966909467611414,6,2020
Maida Vale,440000,4,2,2,606,136,2000,Midland Station,DARLING RANGE SPORTS COLLEGE,2.874672057780357,3,2017
Scarborough,625000,3,2,3,249,188,1998,Stirling Station,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.3694147510380206,9,2019
Swanbourne,1450000,5,3,2,815,317,1956,Swanbourne Station,SCOTCH COLLEGE,0.2808600765794119,3,2016
Dayton,505000,4,2,2,416,247,2013,Guildford Station,GOVERNOR STIRLING SENIOR HIGH SCHOOL,3.721666203350969,11,2015
Midvale,375000,4,2,1,739,134,1960,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,1.783274025265852,5,2013
Bull Creek,845500,4,3,2,697,226,1976,Bull Creek Station,ALL SAINTS' COLLEGE,0.5272669684173824,7,2016
Sorrento,808000,4,2,1,700,194,1985,Greenwood Station,DUNCRAIG SENIOR HIGH SCHOOL,0.8210256423005832,1,2018
Ellenbrook,442500,4,1,0,480,195,2000,Success Hill Station,ELLENBROOK CHRISTIAN COLLEGE,0.3734108067342261,4,2020
Secret Harbour,530000,5,2,3,709,217,1995,Warnbro Station,COMET BAY COLLEGE,2.165074459410345,8,2019
Mount Hawthorn,785000,2,1,2,479,118,1952,Glendalough Station,BOLD PARK COMMUNITY SCHOOL,0.5726633750794385,10,2020
Darlington,995000,4,2,2,2274,200,2003,Midland Station,TREETOPS MONTESSORI SCHOOL,0.9867388322020888,3,2020
Guildford,660000,3,2,2,543,207,2012,East Guildford Station,GUILDFORD GRAMMAR SCHOOL,0.8994903430749848,10,2018
Clarkson,230000,3,1,2,603,120,1993,Clarkson Station,QUINNS BAPTIST COLLEGE,0.5420153332947121,11,2020
Yangebup,430000,4,2,0,700,144,1984,Cockburn Central Station,DIVINE MERCY COLLEGE,0.98443465770244,11,2020
South Guildford,595000,3,2,2,577,136,1995,Woodbridge Station,GUILDFORD GRAMMAR SCHOOL,0.8403071063776308,4,2016
Rossmoyne,1175000,4,2,4,826,184,1964,Bull Creek Station,AQUINAS COLLEGE,1.121991604996874,2,2020
Ascot,890000,5,3,2,359,245,1999,Bayswater Station,BELMONT CITY COLLEGE,2.683118087481489,7,2015
Ashby,586000,5,2,2,608,203,2006,Joondalup Station,WANNEROO SECONDARY COLLEGE,2.9177252344811113,12,2015
Floreat,1435000,4,2,3,861,204,1995,Karrakatta Station,SHENTON COLLEGE,1.5927722257606245,5,2018
Beaconsfield,855000,4,2,1,556,167,1953,Fremantle Station,FREMANTLE COLLEGE,0.8311779159818986,5,2017
Beeliar,620000,3,2,2,383,223,2011,Cockburn Central Station,DIVINE MERCY COLLEGE,1.312794756686617,5,2017
Baldivis,444000,4,2,0,750,232,1995,Warnbro Station,TRANBY COLLEGE,1.0018731121517448,7,2020
Mundijong,420000,4,2,0,900,161,2003,Armadale Station,COURT GRAMMAR SCHOOL,2.1974706337377268,8,2011
Stratton,373000,3,3,6,511,110,1995,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.587253491935836,6,2014
White Gum Valley,760000,4,2,2,445,151,1965,Fremantle Station,FREMANTLE COLLEGE,0.6482978485147329,12,2020
Ashby,600000,4,2,2,621,240,2007,Joondalup Station,WANNEROO SECONDARY COLLEGE,2.6974484218336072,11,2016
Brookdale,330000,4,1,1,606,120,1992,Armadale Station,DALE CHRISTIAN SCHOOL,1.0188622272462262,10,2013
Atwell,585000,4,2,2,594,211,1995,Cockburn Central Station,ATWELL COLLEGE,1.3321902222109632,12,2018
Ellenbrook,282000,3,2,2,300,134,1999,Guildford Station,ELLENBROOK CHRISTIAN COLLEGE,0.7819743070845456,11,2020
Wembley,1130000,4,2,3,427,244,1995,Subiaco Station,BOLD PARK COMMUNITY SCHOOL,1.2422592969006194,2,2019
Upper Swan,450000,4,2,2,3245,157,1982,Midland Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,5.149283433124516,11,2018
Noranda,565000,5,2,2,714,257,1980,Meltham Station,MORLEY SENIOR HIGH SCHOOL,1.5389149657625767,9,2020
Greenmount,642000,3,2,2,1489,194,1976,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,1.6330636654494406,11,2015
Salter Point,1100000,4,3,2,510,370,2005,Canning Bridge Station,AQUINAS COLLEGE,0.8235556681158408,6,2019
Port Kennedy,270000,3,2,1,553,138,1995,Warnbro Station,WARNBRO COMMUNITY HIGH SCHOOL,1.5640815873509273,3,2019
Yanchep,360000,4,2,2,516,188,2011,Butler Station,YANCHEP SECONDARY COLLEGE,1.9133968923946576,8,2020
Heathridge,530000,4,2,2,755,146,1978,Edgewater Station,BELRIDGE SECONDARY COLLEGE,0.5194086851450364,11,2020
Bennett Springs,420000,4,2,2,496,147,1998,Ashfield Station,KIARA COLLEGE,2.2852330533746423,7,2019
Salter Point,1180000,4,2,2,450,231,1995,Canning Bridge Station,AQUINAS COLLEGE,1.1218751021843043,11,2014
Karrinyup,985000,5,2,2,800,245,1979,Warwick Station,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.7413589992916267,8,2020
Burns Beach,810000,4,2,4,515,219,2012,Currambine Station,YOUTH FUTURES COMMUNITY SCHOOL,3.69810653413406,2,2018
Yangebup,430000,3,1,1,713,130,1981,Cockburn Central Station,DIVINE MERCY COLLEGE,0.9789285075209376,6,2018
Butler,490000,4,2,2,608,189,2008,Butler Station,BUTLER COLLEGE,1.3364316864451031,6,2020
Alexander Heights,440000,4,2,2,565,140,2001,Warwick Station,GIRRAWHEEN SENIOR HIGH SCHOOL,1.7933744428420961,6,2017
Mindarie,570000,4,2,2,576,183,1996,Clarkson Station,YOUTH FUTURES COMMUNITY SCHOOL,0.8017600811343503,6,2018
Merriwa,386000,4,2,2,603,146,2003,Butler Station,ALKIMOS BAPTIST COLLEGE,0.2261592703473081,9,2016
Kelmscott,501000,3,2,3,719,116,1994,Kelmscott Station,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.80196889155256,7,2020
Safety Bay,472000,4,2,2,854,201,1991,Rockingham Station,SAFETY BAY SENIOR HIGH SCHOOL,0.9210743587535468,2,2019
Merriwa,320000,4,2,2,718,120,1995,Clarkson Station,QUINNS BAPTIST COLLEGE,0.21419311999399573,2,2018
Spearwood,570000,4,2,6,804,177,1980,Cockburn Central Station,PORT SCHOOL,3.2961655334553543,5,2019
Ascot,755000,3,2,2,305,198,1999,Bayswater Station,BELMONT CITY COLLEGE,2.723280397618188,1,2016
The Vines,690000,4,2,2,550,217,2009,Midland Station,HOLY CROSS COLLEGE,3.0615271210889334,1,2019
Burns Beach,1574000,5,3,2,694,418,1993,Currambine Station,PRENDIVILLE CATHOLIC COLLEGE,3.410346137116984,6,2020
Menora,850000,2,2,2,1234,202,1995,Mount Lawley Station,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.6812608227784059,10,2019
Beeliar,480000,3,2,2,449,141,2002,Cockburn Central Station,DIVINE MERCY COLLEGE,0.6796575714072514,6,2017
Tapping,440000,4,2,2,530,192,2008,Currambine Station,JOSEPH BANKS SECONDARY COLLEGE,2.8272404107455604,1,2020
Secret Harbour,440000,4,2,2,640,556,2004,Warnbro Station,COMET BAY COLLEGE,0.769304204953195,8,2019
Mariginiup,855000,4,2,2,22583,200,1990,Clarkson Station,JOSEPH BANKS SECONDARY COLLEGE,7.994470661481856,3,2011
Aveley,535000,4,2,3,704,231,2009,Woodbridge Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.6457818893744256,4,2019
Ashby,510000,4,2,2,555,167,2005,Joondalup Station,WANNEROO SECONDARY COLLEGE,2.7582698463752062,2,2015
Stirling,1385000,5,3,2,501,470,2011,Stirling Station,SERVITE COLLEGE,1.4037929989442592,10,2019
Kiara,467500,5,2,2,807,208,1995,Bassendean Station,KIARA COLLEGE,1.0043152715496813,7,2020
Aveley,440000,4,2,2,700,220,2006,Woodbridge Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.3051818226780512,9,2020
Chidlow,420000,3,1,4,1461,132,1972,Midland Station,EASTERN HILLS SENIOR HIGH SCHOOL,4.743314307300213,12,2017
Waterford,880000,5,2,3,749,180,1984,Canning Bridge Station,CLONTARF ABORIGINAL COLLEGE,0.8222491283246554,1,2014
Balga,335000,4,2,3,728,150,1964,Warwick Station,JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL,0.9843611691467148,10,2019
Merriwa,380000,3,2,2,605,232,1993,Butler Station,PETER MOYES ANGLICAN COMMUNITY SCHOOL,0.599545871188339,6,2017
Ellenbrook,310000,4,2,2,686,184,1998,Guildford Station,ELLENBROOK SECONDARY COLLEGE,0.4954549533758375,8,2020
Applecross,1205000,4,2,2,790,218,1993,Canning Bridge Station,APPLECROSS SENIOR HIGH SCHOOL,1.1236990992151659,5,2018
Port Kennedy,290000,4,2,0,300,130,1999,Warnbro Station,WARNBRO COMMUNITY HIGH SCHOOL,1.9290260285452852,10,2020
South Lake,475000,4,2,2,660,191,1993,Murdoch Station,LAKELAND SENIOR HIGH SCHOOL,1.4420942492739224,4,2018
Darch,670000,4,2,2,480,187,2007,Greenwood Station,ASHDALE SECONDARY COLLEGE,0.32131273852738235,1,2020
Swan View,565000,4,2,2,837,227,2013,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,1.2281293627113012,9,2017
Gwelup,860000,3,2,2,500,204,2014,Stirling Station,BALCATTA SENIOR HIGH SCHOOL,1.2912814118506846,10,2019
Burns Beach,890000,4,2,2,603,326,2012,Currambine Station,YOUTH FUTURES COMMUNITY SCHOOL,3.5897081079760014,11,2015
Kelmscott,289000,3,2,1,1094,161,1975,Challis Station,SOWILO COMMUNITY HIGH SCHOOL,0.6795324133709967,12,2019
Ellenbrook,350000,4,2,2,533,136,1998,Guildford Station,ELLENBROOK CHRISTIAN COLLEGE,0.18150287066003676,10,2020
Hocking,585000,4,2,2,609,260,2007,Edgewater Station,WANNEROO SECONDARY COLLEGE,1.207429426030426,8,2019
Stirling,825000,4,2,2,495,215,2005,Stirling Station,BALCATTA SENIOR HIGH SCHOOL,1.0384351597459676,6,2018
Riverton,1160800,5,3,2,738,240,2015,Welshpool Station,CLONTARF ABORIGINAL COLLEGE,1.8214243486766004,5,2018
Currambine,580000,4,2,2,831,174,1993,Currambine Station,PRENDIVILLE CATHOLIC COLLEGE,1.5039686910444858,10,2016
Shenton Park,1265000,3,2,2,432,215,1910,Daglish Station,SHENTON COLLEGE,1.0277894859893375,3,2018
Ashby,480000,3,2,2,246,109,2015,Joondalup Station,JOSEPH BANKS SECONDARY COLLEGE,3.4098678515285847,8,2014
Boya,850000,3,1,2,2025,173,1975,Midland Station,TREETOPS MONTESSORI SCHOOL,1.5344837936668867,11,2018
Gosnells,345000,4,2,3,810,135,1980,Gosnells Station,SOUTHERN RIVER COLLEGE,1.5526958814851255,12,2018
Greenwood,545000,4,1,1,684,154,1976,Greenwood Station,GREENWOOD COLLEGE,0.5447801068027709,5,2018
Koongamia,370000,3,1,2,796,91,2004,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,1.7666691993523147,7,2012
Mount Nasura,430000,3,1,3,700,129,1977,Armadale Station,JOHN CALVIN CHRISTIAN COLLEGE,1.5052287541938159,8,2015
Jarrahdale,420000,4,2,2,1100,166,1987,Armadale Station,COURT GRAMMAR SCHOOL,10.031340803183994,4,2014
Beaconsfield,825000,4,1,1,928,145,1968,Fremantle Station,FREMANTLE COLLEGE,0.7301539522806879,2,2018
Manning,750000,4,2,2,509,204,1995,Canning Bridge Station,COMO SECONDARY COLLEGE,1.0471153605214465,2,2017
Craigie,490000,4,1,1,704,129,1984,Edgewater Station,BELRIDGE SECONDARY COLLEGE,1.1547873390141106,6,2017
Bertram,425000,4,2,2,429,128,2004,Kwinana Station,THE KING'S COLLEGE,0.9343441091544918,4,2016
Huntingdale,430000,4,2,2,538,142,1997,Thornlie Station,THORNLIE SENIOR HIGH SCHOOL,1.3637385208955364,12,2015
Fremantle,860000,3,2,2,579,149,1970,Fremantle Station,FREMANTLE COLLEGE,1.0468347800451892,3,2018
Beeliar,470000,4,3,2,741,207,2000,Cockburn Central Station,DIVINE MERCY COLLEGE,2.628297162241877,2,2019
Rossmoyne,885000,3,1,3,850,135,1970,Bull Creek Station,ROSSMOYNE SENIOR HIGH SCHOOL,0.4532810977617971,5,2014
Henley Brook,470000,4,2,2,554,188,2005,Guildford Station,ELLENBROOK SECONDARY COLLEGE,1.371264720619671,10,2016
Samson,410000,3,1,1,750,132,1982,Murdoch Station,SETON CATHOLIC COLLEGE,0.9438955226672712,2,2009
Merriwa,385000,4,2,2,759,113,1995,Butler Station,PETER MOYES ANGLICAN COMMUNITY SCHOOL,0.5052719004368832,1,2018
